Main deck
13-A;15-A;19-A;21-A;10-A;20-A;3-A;5-A;7-D;9-D;11-D;14-D;11-C;8-C;13-C;4-C;9-S;6-S;12-S;11-S;5-H;13-H;8-H;12-H;16-A;6-A;12-A;4-A;8-A;6-D;9-A;1-A;1-C;7-C;14-C;9-C;14-A;3-H;7-A;2-C;11-A;12-D;2-A;10-H;7-H;4-H;6-H;1-H;3-C;12-C;5-C;6-C;5-S;14-S;13-S;0-A;3-S;10-S;18-A;7-S;5-D;3-D;8-S;10-D;9-H;14-H;4-S;2-H;17-A;1-D;2-S;1-S
0.5;0.5;0.5;4.5;0.5;0.5;0.5;0.5;0.5;0.5;1.5;4.5;1.5;0.5;3.5;0.5;0.5;0.5;2.5;1.5;0.5;3.5;0.5;2.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;4.5;0.5;0.5;4.5;0.5;0.5;0.5;0.5;0.5;0.5;2.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;2.5;0.5;0.5;0.5;4.5;3.5;4.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;4.5;0.5;0.5;0.5;0.5;0.5;0.5;
1;2;3;0;0;1;2;3;1;2;3;0;0;1;2;3;2;3;0;1;0;1;2;3;1;2;3;0;1;2;3;0;3;0;1;2;1;2;3;0;1;2;3;0;1;2;3;0;1;2;3;0;2;3;0;1;3;0;1;2;1;2;3;0;0;1;2;3;1;2;3;0;
0;0;0;0;1;1;1;1;0;0;0;0;2;2;2;2;0;0;0;0;1;1;1;1;1;1;1;1;3;3;3;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;3;3;3;3;1;1;1;1;0;0;0;0;1;1;1;1;1;1;1;1;

Dog deck
2-D;11-H;13-D;4-D;8-D;10-C
0.5;1.5;3.5;0.5;0.5;0.5;
1;1;1;1;1;1;
0;0;0;0;1;1;
